flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
IBE8791; ATR-72;13/04/18;13:55;MELILLA;MLN;12;18;Chubascos dispersos;3;13/04/18;15:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:38:00;98;0
AEA7315; EMBRAER ERJ-195;13/04/18;12:30;VIGO;VGO;6;15;Chubascos dispersos;5;13/04/18;13:40;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;9;Despego;Aterrizo;0 days 01:10:00;70;1
IBE8577; BOMBARDIER CRJ-1000;13/04/18;14:05;ALMERIA;LEI;8;17;Chubascos dispersos;3;13/04/18;15:15;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:11:00;71;1
VLG3154; AIRBUS A320;13/04/18;12:30;JEREZ DE LA FRONTERA;XRY;5;15;Chubascos dispersos;7;13/04/18;14:05;PALMA DE MALLORCA;12;17;Lluvia;13;Despego;Aterrizo;0 days 01:27:00;87;1
IBE0513; AIRBUS A320;13/04/18;13:35;A CORUÑA;LCG;10;15;Chubascos dispersos;3;13/04/18;15:00;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;11;Despego;Aterrizo;0 days 01:04:00;64;1
VLG1274; 32A;13/04/18;14:05;A CORUÑA;LCG;10;15;Chubascos dispersos;4;13/04/18;15:30;VALENCIA;11;21;Nubosidad variable;8;Despego;Aterrizo;0 days 01:22:00;82;1
IBE8645; CANADAIR CRJ-900;13/04/18;13:55;GRANADA-JAÉN F.G.L.;GRX;5;17;Chubascos dispersos;2;13/04/18;15:00;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:18:00;78;1
IBE8911; BOMBARDIER CRJ-1000;13/04/18;14:10;IBIZA;IBZ;13;17;Nuboso a muy nuboso;16;13/04/18;15:25;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:08:00;68;0
VLG3511; 32A;13/04/18;14:20;IBIZA;IBZ;13;17;Nuboso a muy nuboso;6;13/04/18;15:20;BARCELONA-EL PRAT;12;17;Lluvia;2;Despego;Aterrizo;0 days 00:41:00;41;1
VLG1628; AIRBUS A320;13/04/18;13:40;ASTURIAS;OVD;8;14;Lluvia;7;13/04/18;15:10;MALAGA-COSTA DEL SOL;8;16;Tormentas localmente fuertes;41;Despego;Aterrizo;0 days 01:19:00;79;1
VOE3528; BOEING 717;13/04/18;14:10;BILBAO;BIO;7;17;Lluvia moderada;1;13/04/18;15:35;SEVILLA;8;17;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:13:00;73;0
RYR5273; BOEING 737-800 WINGLETS;13/04/18;13:55;PALMA DE MALLORCA;PMI;12;17;Lluvia;D92;13/04/18;15:35;SEVILLA;8;17;Chubascos dispersos;4;Despego;Aterrizo;0 days 01:29:00;89;0
RYR2054; BOEING 737-800 WINGLETS;13/04/18;14:15;PALMA DE MALLORCA;PMI;12;17;Lluvia;D83;13/04/18;15:50;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;10;Despego;Aterrizo;0 days 01:28:00;88;0
IBB663; ATR-72;13/04/18;14:10;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4;13/04/18;14:50;EL HIERRO;14;17;Chubascos dispersos;1;Despego;Aterrizo;0 days 00:33:00;33;0
IBB629; ATR-42/72;13/04/18;14:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;2;13/04/18;14:30;LA PALMA;16;21;Nubosidad variable;4;Despego;Aterrizo;0 days 00:29:00;29;0
IBB507; ATR-72;13/04/18;13:15;LANZAROTE;ACE;17;22;Nubosidad variable;P2;13/04/18;14:00;GRAN CANARIA;16;21;Nubosidad variable;12;Despego;Aterrizo;0 days 01:03:00;63;1
VLG1401; AIRBUS A320;13/04/18;14:00;BARCELONA-EL PRAT;BCN;12;17;Lluvia;A06;13/04/18;15:25;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;14;Despego;Aterrizo;0 days 01:17:00;77;1
AEA9417; ATR-72;13/04/18;13:30;GRAN CANARIA;LPA;16;21;Nubosidad variable;A15;13/04/18;14:00;TENERIFE NORTE;17;22;Nubosidad variable;2;Despego;Aterrizo;0 days 00:40:00;40;1
IBB212; ATR-72;13/04/18;13:40;GRAN CANARIA;LPA;16;21;Nubosidad variable;A09;13/04/18;14:20;FUERTEVENTURA;16;22;Nubosidad variable;14;Despego;Aterrizo;0 days 00:42:00;42;0
